gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000156282	399.7543733190832	-0.8605877206530016	0.38583739554808044	-2.23044145171709	0.025718150272364904	0.24539401718214843
ENSG00000160213	3465.905316768475	0.4604116056271795	0.2265246824781374	2.0325008320963667	0.0421029796281031	0.3856632933934244
ENSG00000186965	136.95557051608336	-0.9417645146964483	0.4734611658420124	-1.9891061456362449	0.04668948814704773	0.4112266456028435
ENSG00000160282	4488.816539688976	0.33509236725248126	0.17078915039627918	1.9620237378953647	0.0497597206481062	0.4220361492006044
ENSG00000184724	161.99026910010852	0.8427667489216715	0.4353709902739769	1.9357439235703837	0.05289907198609373	0.43263883874340947
ENSG00000205929	1291.5480257895874	-0.3942268927351196	0.20807487589092372	-1.894639566872936	0.05814016910386316	0.4591068525787815
ENSG00000171189	8603.94017629555	-0.31897004552760577	0.17147082031702648	-1.8602001491441695	0.06285721397356095	0.4798100666648486
ENSG00000160214	4552.263124084577	0.3157146985053062	0.17188873305280894	1.8367387605813	0.06624847027116326	0.4893838610353673
ENSG00000205670	1965.0610481305553	0.4036743416184715	0.22406094272647542	1.801627435403862	0.0716040417918867	0.504363487525178
ENSG00000160216	13268.703645765527	0.28930442085996577	0.16118787703639062	1.7948274161750446	0.07268120125908678	0.504363487525178
ENSG00000154734	4209.320770864351	-0.3150648550249912	0.18482060735706005	-1.7047063069991362	0.0882492129879187	0.5460046963981464
ENSG00000142182	1437.9623903463887	0.4349382913836383	0.25790035398906186	1.686458683193917	0.09170748667663098	0.5460046963981464
ENSG00000156239	3403.622697641262	-0.4018351346311079	0.23878671281821856	-1.6828203290231372	0.09240987838382551	0.5460046963981464
ENSG00000183778	7339.545897844516	-0.2945612317357066	0.1760360701973066	-1.6733004287448212	0.09426816810620758	0.5460046963981464
ENSG00000159082	13437.67738209952	0.28197825158230455	0.1689705302901133	1.6688013649372058	0.09515675213822196	0.5460046963981464
ENSG00000244362	175.6036757933121	0.7141618881751561	0.42850833101125363	1.6666231120636033	0.0955893702347364	0.5460046963981464
ENSG00000159263	4656.3530803727	-0.37511969399370215	0.226307008410363	-1.657569938415238	0.09740430152878385	0.5460046963981464
ENSG00000156299	8644.333141480629	0.27088019111815215	0.1640960469232858	1.6507417222840686	0.09879132452753761	0.5460046963981464
ENSG00000205581	7601.860816891448	0.26312014114783394	0.16003196714822507	1.6441723852842876	0.10014059933939803	0.5460046963981464
ENSG00000185437	2334.9168257277724	0.3948479088708809	0.2487067291403855	1.5876044457486482	0.11237581228002333	0.5984665351657056
ENSG00000182240	6917.228226288469	-0.3670020756776411	0.23430610693940881	-1.5663359375116384	0.11726999191535581	0.6103370033776472
ENSG00000244025	206.09904456334212	0.7565532522401308	0.4887219300219603	1.5480239493368668	0.12161653051055035	0.6188930108203562
ENSG00000186866	8024.491280136851	-0.2579624277209579	0.16800299354719425	-1.53546328118548	0.12467006988340755	0.6206401305065289
ENSG00000205445	534.0572166641246	0.46155188877910175	0.309113418985719	1.493147370610997	0.1353986149750124	0.6387854984006631
ENSG00000277277	617.4460251818576	0.5732543395924976	0.3866984871493684	1.482432330724555	0.138225296687983	0.6387854984006631
ENSG00000160233	2199.689135715262	0.47525414724245363	0.32196538952037523	1.476103217027238	0.13991618541943743	0.6387854984006631
ENSG00000197381	15679.982395419538	0.3158431174285438	0.21487037503329276	1.4699239826784218	0.14158234337038345	0.6387854984006631
ENSG00000177692	2184.1834396924123	-0.2707378211889577	0.18458645418742828	-1.466726376974833	0.14245050448563332	0.6387854984006631
ENSG00000160221	5503.31625253415	-0.2330156289699896	0.1599026572003792	-1.4572342514483057	0.1450517288944737	0.6387854984006631
ENSG00000142149	3848.699057471933	0.275266526472006	0.198298227579568	1.3881441595919164	0.1650931519945519	0.7133270152217431
ENSG00000221837	757.7271776438539	-0.3984322935685344	0.29933956826754904	-1.3310378439926676	0.18317655900656973	0.7752151933485314
ENSG00000215455	332.7956116960929	0.45537929536997956	0.3476797997173318	1.3097663302274358	0.19027489666003036	0.7752151933485314
ENSG00000241123	328.08374902394877	-0.4890781168502357	0.37481558853205355	-1.3048499897394492	0.19194393313587976	0.7752151933485314
ENSG00000142156	4387.998060675837	-0.26319968506442704	0.20216896659466746	-1.3018797568081815	0.19295749354090086	0.7752151933485314
ENSG00000154640	1526.2214577865814	0.25619395429934494	0.20031385404738006	1.2789627333451814	0.20091017947580064	0.7932488120682474
ENSG00000154639	2870.107982146473	-0.27384905852543884	0.22359244508487314	-1.2247688351969535	0.22066233023841908	0.8564690444847113
ENSG00000249209	473.06237518177363	0.41430694886410124	0.3446804502711703	1.202003039447563	0.22936235048571255	0.8753996376871362
ENSG00000212938	180.9876151230207	-0.4877639680729685	0.42582834877915476	-1.1454473838376014	0.2520238794645036	0.9461224327437923
ENSG00000198862	9989.927236688913	-0.1987790167881614	0.1793199235001068	-1.1085160695378224	0.26763900303795907	0.9752850947647614
ENSG00000160226	4139.918170484661	0.21230173234376054	0.19178753859255093	1.1069631212838684	0.26830987323222694	0.9752850947647614
ENSG00000221859	262.7486286886189	-0.36785759460940226	0.35817365812311824	-1.027036986854447	0.30440304811009694	0.983620839745981
ENSG00000186980	72.2673437485046	-0.6442413014761813	0.638682937262673	-1.008702853778012	0.31311716274521917	0.983620839745981
ENSG00000166979	5837.043324602449	-0.16876367571892714	0.16844204983271688	-1.0019094156508406	0.3163873446788465	0.983620839745981
ENSG00000212935	338.339179860418	0.3836075852624066	0.3839713358265537	0.999052662190619	0.31776918105144886	0.983620839745981
ENSG00000160285	8797.787178107197	0.20547950552507735	0.20885893552139637	0.9838195575023755	0.32520424143978105	0.983620839745981
ENSG00000242220	1915.1724826795858	-0.25368825421994656	0.25865859979848405	-0.980784147202491	0.32669919743849557	0.983620839745981
ENSG00000280433	1961.7344319675678	-0.20483354678369156	0.2094180108285416	-0.9781085493711259	0.3280206398875122	0.983620839745981
ENSG00000189169	409.23100856225125	-0.3298745584237781	0.34154620642674816	-0.9658270307696324	0.33413074017761385	0.983620839745981
ENSG00000273590	3313.7163127306494	-0.1640545894399149	0.17191779184243045	-0.9542618462100626	0.33995111581963805	0.983620839745981
ENSG00000183145	2155.423950952386	0.253966109624775	0.26975469040062366	0.94147059777755715	0.34646374985759193	0.983620839745981
ENSG00000157551	12678.946436026363	-0.1662820136167353	0.17769485135519553	-0.9357728282422375	0.34939016424481445	0.983620839745981
ENSG00000160294	8445.091458108724	0.19561351295586463	0.20931216097588798	0.9345539792998392	0.3500182053046506	0.983620839745981
ENSG00000185658	19301.812868714118	0.1476333402420136	0.16323624792158617	0.9044151781345297	0.36577529288369715	0.983620839745981
ENSG00000182670	25438.249419360774	0.1534119413425357	0.16998573025510555	0.9024989398363216	0.3667918843535119	0.983620839745981
ENSG00000159079	3726.993088700848	-0.1736446825554139	0.193894270835276	-0.895563761669548	0.37048579732719383	0.983620839745981
ENSG00000155307	5571.668952370163	0.18797405056084524	0.21448571071824538	0.876394282543947	0.3808157254632191	0.983620839745981
ENSG00000154727	3363.152092940971	-0.14887305525266456	0.17097393310350478	-0.8707353954508333	0.38389864735527707	0.983620839745981
ENSG00000157554	16946.834852947602	-0.15686293993313338	0.1812363924863457	-0.8655156824805558	0.3867558121591555	0.983620839745981
ENSG00000160191	15290.305478043882	0.1200413603790988	0.1398335056937884	0.8584592067795893	0.39063894659273324	0.983620839745981
ENSG00000183486	7065.933307149168	-0.14150858990006698	0.16537771174698163	-0.8556690524087489	0.3921808629404947	0.983620839745981
ENSG00000184787	5868.53744813707	-0.17656491527111876	0.20680153170354817	-0.8537892046381268	0.3932217970233038	0.983620839745981
ENSG00000184221	1337.249189747793	0.24438420751464293	0.28685866848599895	0.8519324474469241	0.39425158644301683	0.983620839745981
ENSG00000160209	13748.604465243028	-0.12244731539260953	0.14376682673665692	-0.8517077143039462	0.3943763379218318	0.983620839745981
ENSG00000160200	7849.699910348828	-0.12403911553687369	0.1526010092864238	-0.8128328647162418	0.4163138900696906	0.983620839745981
ENSG00000141956	20869.922298983012	-0.11297579747188952	0.14203344495748862	-0.7954168647088985	0.42637105296483074	0.983620839745981
ENSG00000159086	5679.986348177738	0.1409658894571208	0.177664251822387	0.793439805763773	0.4275216267442225	0.983620839745981
ENSG00000182816	277.430152827674	-0.29276080997831816	0.3708281325822571	-0.7894784247885452	0.4298324349433476	0.983620839745981
ENSG00000142173	6155.244523598264	-0.15184949432928874	0.19252124773027732	-0.7887414824052574	0.43026311741382695	0.983620839745981
